Departamento,Municipio,Cod DANE,2001,2002,2003,2004,2005,2006
AMAZONAS,El Encanto,"91,263",206,264,164,270,382,233
AMAZONAS,La Chorrera,"91,405",65,236,209,271,257,223
AMAZONAS,MiritÃ­ ParanÃ¡,"91,460",6,43,36,30,12,4
AMAZONAS,Puerto AlegrÃ­a,"91,530",222,195,173,174,210,202
AMAZONAS,Puerto Arica,"91,536",0,1,6,0,0,0
AMAZONAS,Puerto Santander,"91,669",33,44,37,38,36,30
ANTIOQUIA,Amalfi,"5,031",31,110,74,173,210,342
ANTIOQUIA,AnorÃ­,"5,040",188,369,614,753,759,836
ANTIOQUIA,Argelia,"5,055",0,0,4,21,21,15
ANTIOQUIA,BriceÃ±o,"5,107",20,17,20,54,115,44
ANTIOQUIA,CÃ¡ceres,"5,120",213,116,537,539,650,579
ANTIOQUIA,Campamento,"5,134",0,8,0,62,28,9
ANTIOQUIA,CaracolÃ­,"5,142",0,0,0,0,0,1
ANTIOQUIA,Carepa,"5,147",0,0,0,2,0,0
ANTIOQUIA,Caucasia,"5,154",81,26,27,21,2,12
ANTIOQUIA,Dabeiba,"5,234",34,0,0,0,0,0
ANTIOQUIA,El Bagre,"5,250",420,327,524,546,721,463
ANTIOQUIA,Frontino,"5,284",1,0,0,0,0,0
ANTIOQUIA,GÃ³mez Plata,"5,310",21,2,0,0,0,0
ANTIOQUIA,Ituango,"5,361",126,130,200,135,161,76
ANTIOQUIA,Maceo,"5,425",7,0,0,0,0,0
ANTIOQUIA,MutatÃ¡,"5,480",1,0,0,0,0,0
ANTIOQUIA,NariÃ±o,"5,483",0,0,2,8,1,94
ANTIOQUIA,NechÃ­,"5,495",14,57,125,195,365,335
ANTIOQUIA,NecoclÃ­,"5,490",0,0,78,1,0,0
ANTIOQUIA,Puerto Nare,"5,585",0,0,0,7,2,35
ANTIOQUIA,Puerto Triunfo,"5,591",0,0,0,0,0,1
ANTIOQUIA,Remedios,"5,604",424,534,331,193,202,265
ANTIOQUIA,Sabanalarga,"5,628",0,1,0,0,0,0
ANTIOQUIA,San Carlos,"5,649",1,0,0,0,0,38
ANTIOQUIA,San Francisco,"5,652",20,0,17,0,27,137
ANTIOQUIA,San Luis,"5,660",11,0,18,0,83,197
ANTIOQUIA,San Pedro de UrabÃ¡,"5,665",0,0,8,0,0,0
ANTIOQUIA,San Rafael,"5,667",8,0,0,0,0,2
ANTIOQUIA,San Roque,"5,670",78,2,0,0,0,0
ANTIOQUIA,Santa Rosa de Osos,"5,686",3,0,0,0,0,0
ANTIOQUIA,Segovia,"5,736",222,355,58,152,403,604
ANTIOQUIA,SonsÃ³n,"5,756",1,0,55,25,41,84
ANTIOQUIA,TarazÃ¡,"5,790",638,337,537,"1,163","1,402","1,105"
ANTIOQUIA,Turbo,"5,837",0,0,151,21,0,0
ANTIOQUIA,Uramita,"5,842",3,0,0,0,0,0
ANTIOQUIA,Urrao,"5,847",0,0,0,14,0,1
ANTIOQUIA,Valdivia,"5,854",116,50,157,431,467,426
ANTIOQUIA,VegachÃ­,"5,858",56,74,75,49,38,25
ANTIOQUIA,VigÃ­a del Fuerte,"5,873",0,0,0,3,0,0
ANTIOQUIA,YalÃ­,"5,885",76,47,46,27,22,0
ANTIOQUIA,Yarumal,"5,887",2,2,0,68,6,17
ANTIOQUIA,YolombÃ³,"5,890",61,7,17,0,0,0
ANTIOQUIA,YondÃ³,"5,893",31,59,85,86,88,13
ANTIOQUIA,Zaragoza,"5,895",263,399,505,416,600,400
ARAUCA,Arauquita,"81,065","1,685","1,647",294,939,"1,165",775
ARAUCA,Fortul,"81,300",338,165,71,252,249,158
ARAUCA,Puerto RondÃ³n,"81,591",53,34,0,10,36,50
ARAUCA,Saravena,"81,736",167,55,77,98,184,126
ARAUCA,Tame,"81,794",506,314,96,253,249,197
BOLIVAR,AchÃ­,"13,006",1,0,0,0,3,0
BOLIVAR,Altos del Rosario,"13,030",0,0,37,43,58,18
BOLIVAR,Arenal,"13,042",41,71,194,109,150,67
BOLIVAR,Barranco de Loba,"13,074",0,0,51,53,82,29
BOLIVAR,Cantagallo,"13,160",837,446,511,229,333,127
BOLIVAR,El PeÃ±Ã³n,"13,268",0,0,0,2,0,0
BOLIVAR,Montecristo,"13,458",79,45,231,287,255,237
BOLIVAR,Morales,"13,473",141,64,145,78,115,152
BOLIVAR,Rio Viejo,"13,600",149,166,288,242,323,178
BOLIVAR,San Jacinto del Cauca,"13,655",0,5,23,40,47,82
BOLIVAR,San MartÃ­n de Loba,"13,667",0,0,67,180,176,67
BOLIVAR,San Pablo,"13,670",938,614,"1,105",756,638,334
BOLIVAR,Santa Rosa del Sur,"13,688","1,502",996,"1,336",925,"1,152",810
BOLIVAR,SimitÃ­,"13,744","1,088",321,410,388,188,174
BOLIVAR,Tiquisio,"13,810",48,7,72,69,150,107
BOYACA,Coper,"15,212",0,3,3,0,0,1
BOYACA,CubarÃ¡,"15,223",139,6,8,0,0,0
BOYACA,MaripÃ­,"15,442",0,14,25,10,0,4
BOYACA,Muzo,"15,480",0,1,39,11,2,13
BOYACA,Otanche,"15,507",20,23,141,84,101,142
BOYACA,Pauna,"15,531",1,10,22,10,14,54
BOYACA,Puerto BoyacÃ¡,"15,572",85,43,309,215,206,197
BOYACA,Quipama,"15,580",0,3,27,15,10,6
BOYACA,San Pablo Borbur,"15,681",0,15,19,13,9,20
BOYACA,Santa SofÃ­a,"15,696",0,0,1,0,0,0
BOYACA,Tununga,"15,832",0,0,0,1,0,4
CALDAS,Manzanares,"17,433",0,0,1,0,0,0
CALDAS,Norcasia,"17,495",0,0,43,313,46,51
CALDAS,Pensilvania,"17,541",0,0,0,1,7,14
CALDAS,SamanÃ¡,"17,662",0,0,10,41,132,380
CALDAS,Victoria,"17,867",0,0,0,3,4,16
CAQUETA,Albania,"18,029",180,125,122,698,149,106
CAQUETA,BelÃ©n de los Andaquies,"18,094",40,64,135,112,157,132
CAQUETA,Cartagena del ChairÃ¡,"18,150","6,405","3,989","1,990","1,203","1,836","1,674"
CAQUETA,Curillo,"18,205",753,581,202,252,253,265
CAQUETA,El Doncello,"18,247",41,3,22,13,52,52
CAQUETA,El Paujil,"18,256",149,3,12,30,29,32
CAQUETA,Florencia,"18,001",0,24,69,92,6,4
CAQUETA,La MontaÃ±ita,"18,410",605,201,535,188,316,292
CAQUETA,MilÃ¡n,"18,460",559,172,321,348,255,414
CAQUETA,Morelia,"18,479",2,4,1,554,2,18
CAQUETA,Puerto Rico,"18,592",118,246,384,279,91,143
CAQUETA,San JosÃ© de la Fragua,"18,610",655,655,425,209,311,245
CAQUETA,San Vicente del CaguÃ¡n,"18,753","1,197",606,407,603,231,332
CAQUETA,Solano,"18,756","2,171","1,067","1,146",516,"1,015",808
